Clip_Filename,Average_Motion_Energy
clip225.mov,2.160410779587766
clip226.mov,0.4741335605053194
clip227.mov,1.4038917054521274
clip228.mov,1.878914214871454
clip229.mov,1.703049634850543
clip230.mov,1.792462461214539
clip231.mov,1.8099824080230495
clip232.mov,0.18506032524379434
clip233.mov,2.3201213430851064
clip234.mov,2.0841966561391847
clip235.mov,2.2029449246453905
clip236.mov,2.3156353889627663
clip237.mov,1.7368001302083331
clip238.mov,1.8482307596409573
clip239.mov,2.3451649767287237
clip240.mov,0.029429507424645382
clip241.mov,1.8832529920212768
clip242.mov,1.4090664478058508
clip243.mov,1.4955947334884756
clip244.mov,1.6899213209219865
clip245.mov,0.010013921210106382
clip246.mov,26.44583575742464
clip247.mov,35.13195575687057
clip248.mov,10.735076601285462
clip249.mov,11.91835591201241
clip250.mov,11.545147616621374
clip251.mov,7.908219054742909
clip252.mov,16.67900113585993
clip253.mov,9.888638284020391
clip254.mov,1.549649891954787
clip255.mov,5.532918121121454
clip256.mov,10.480248503989364
clip257.mov,6.912254820478725
clip258.mov,2.2395566683289005
clip259.mov,4.902512051196807
clip260.mov,3.859174493018618
clip261.mov,6.914238766068265
clip262.mov,17.494196725398933
clip263.mov,10.316010776817373
clip264.mov,11.018533563275714
clip265.mov,10.727235012189716
clip266.mov,2.920762342087767
clip267.mov,4.2799475703679075
clip268.mov,5.337820326351949
clip269.mov,9.610856466090425
clip270.mov,21.531684951241132
clip271.mov,14.47012638700181
clip272.mov,4.502797055075353
clip273.mov,4.1163279864804965
clip274.mov,1.5034480967420212
clip275.mov,5.374649891954788
clip276.mov,4.801478003102837
clip277.mov,5.1577051473847515
clip278.mov,48.28848210328014
clip279.mov,6.656961643949466
clip280.mov,6.784216741467197
clip281.mov,21.74942445146277
clip282.mov,13.185143436945925
clip283.mov,11.212336200687057
clip284.mov,12.15676494625443
clip285.mov,7.08207938552748
clip286.mov,22.99175705064273
clip287.mov,30.591410751883867
clip288.mov,46.31579260859928
clip289.mov,45.733342683399826
clip290.mov,19.218180684840423
clip291.mov,26.502608058763588
clip292.mov,26.967071836214537
clip293.mov,11.081448775487589
clip294.mov,6.672262162012414
clip295.mov,21.867707640735812
clip296.mov,16.68130887078901
clip297.mov,11.573655668218088
clip298.mov,9.12446600731383
clip299.mov,8.695121343085106
clip300.mov,10.521799506870567
clip301.mov,7.956186973625887
clip302.mov,1.6672796154698586
clip303.mov,4.393956740359042
clip304.mov,5.254641788563831
clip305.mov,23.206588333887417
clip306.mov,22.741126440602837
