Clip_Filename,Average_Pitch_Hz,Average_Amplitude
clip200.mov,436.29632568359375,0.001306158839724958
clip201.mov,478.0923156738281,0.018093446269631386
clip202.mov,350.8628845214844,0.03480301797389984
clip203.mov,225.7808074951172,0.053386200219392776
clip204.mov,244.7512664794922,0.06548440456390381
clip205.mov,246.14378356933594,0.07218088954687119
clip206.mov,391.28057861328125,0.07688819617033005
clip207.mov,381.3211364746094,0.07313570380210876
clip208.mov,673.7666625976562,0.06409995257854462
clip209.mov,486.53460693359375,0.047365233302116394
clip210.mov,704.2720336914062,0.029697561636567116
clip211.mov,612.7852783203125,0.011063512414693832
clip212.mov,587.3283081054688,0.012387587688863277
clip213.mov,799.8004760742188,0.009437834843993187
clip214.mov,323.9177551269531,0.009776435792446136
clip215.mov,260.0462646484375,0.022202083840966225
clip216.mov,245.68603515625,0.018897127360105515
clip217.mov,225.40162658691406,0.019608614966273308
clip218.mov,267.2890319824219,0.01776169426739216
clip219.mov,242.1195068359375,0.02471845969557762
clip220.mov,306.8118896484375,0.01853298954665661
clip221.mov,257.2992248535156,0.01708003506064415
clip222.mov,218.1228485107422,0.014852671884000301
clip223.mov,615.070556640625,0.036431342363357544
clip224.mov,446.5257263183594,0.017709169536828995
clip225.mov,789.5313110351562,0.0029500084929168224
clip226.mov,758.7843017578125,0.004527338780462742
clip227.mov,1264.4349365234375,0.0044124675914645195
clip228.mov,1022.302001953125,0.00271432101726532
clip229.mov,509.037841796875,0.001088773482479155
clip230.mov,474.8875732421875,0.001553271198645234
clip231.mov,502.458740234375,0.0010241230484098196
clip232.mov,337.77899169921875,0.0023838351480662823
clip233.mov,356.3323059082031,0.0055931685492396355
clip234.mov,509.5151672363281,0.0007515665492974222
clip235.mov,480.18804931640625,0.00569378025829792
clip236.mov,857.5798950195312,0.00705237640067935
clip237.mov,716.0133056640625,0.00810801237821579
clip238.mov,518.8080444335938,0.00803566724061966
clip239.mov,550.8291625976562,0.0034465077333152294
clip240.mov,809.3667602539062,0.010286231525242329
clip241.mov,370.5389709472656,0.0021458149421960115
clip242.mov,252.81680297851562,0.0006336204241961241
clip243.mov,468.3028564453125,0.0006015425897203386
clip244.mov,658.72900390625,0.000476198794785887
clip245.mov,293.3379821777344,0.0013643637066707015
clip246.mov,585.3970947265625,0.00969335064291954
clip247.mov,509.96026611328125,0.01366567611694336
clip248.mov,601.00634765625,0.00620040949434042
clip249.mov,556.5480346679688,0.005741872824728489
clip250.mov,532.3954467773438,0.009294059127569199
clip251.mov,504.6305236816406,0.006933386437594891
clip252.mov,637.5208129882812,0.022989023476839066
clip253.mov,474.2565612792969,0.004956105723977089
clip254.mov,333.6114807128906,0.015574803575873375
clip255.mov,407.41064453125,0.0217296089977026
clip256.mov,469.6551818847656,0.022536057978868484
clip257.mov,522.740234375,0.02517225593328476
clip258.mov,564.8914184570312,0.023660434409976006
clip259.mov,1163.158935546875,0.006753009743988514
clip260.mov,481.758544921875,0.010985168628394604
clip261.mov,369.92376708984375,0.0022588970605283976
clip262.mov,347.72711181640625,0.004328428767621517
clip263.mov,474.8604431152344,0.017692698165774345
clip264.mov,502.2588806152344,0.01923270896077156
clip265.mov,775.8364868164062,0.0025776727125048637
clip266.mov,858.1935424804688,0.007544633932411671
clip267.mov,745.5029907226562,0.005334921181201935
clip268.mov,581.1149291992188,0.003321701195091009
clip269.mov,590.2709350585938,0.010866548866033554
clip270.mov,624.4886474609375,0.016042057424783707
clip271.mov,389.4102783203125,0.020981991663575172
clip272.mov,753.2533569335938,0.02449553646147251
clip273.mov,582.1992797851562,0.009089374914765358
clip274.mov,643.02099609375,0.021444780752062798
clip275.mov,867.321044921875,0.014014148153364658
clip276.mov,686.4006958007812,0.00976098608225584
clip277.mov,741.8052978515625,0.02183525264263153
clip278.mov,864.0661010742188,0.023503808304667473
clip279.mov,713.3020629882812,0.012411242350935936
clip280.mov,660.4407348632812,0.024258768185973167
clip281.mov,557.8377075195312,0.008751493878662586
clip282.mov,405.8458251953125,0.020190058276057243
clip283.mov,529.2637329101562,0.039571985602378845
clip284.mov,413.96197509765625,0.0409296415746212
clip285.mov,640.9345092773438,0.034838784486055374
clip286.mov,596.2176513671875,0.05355942249298096
clip287.mov,531.2054443359375,0.054061610251665115
clip288.mov,834.7904052734375,0.06412883847951889
clip289.mov,789.5025024414062,0.061748798936605453
clip290.mov,609.7797241210938,0.05517470836639404
clip291.mov,879.0438842773438,0.04982532188296318
clip292.mov,977.7860107421875,0.0666220635175705
clip293.mov,951.0809936523438,0.03232146427035332
clip294.mov,685.662353515625,0.04168420284986496
clip295.mov,875.1228637695312,0.07087817043066025
clip296.mov,844.139892578125,0.04352065920829773
clip297.mov,537.0091552734375,0.04266085848212242
clip298.mov,524.1409912109375,0.060625843703746796
clip299.mov,423.26898193359375,0.06556104123592377
clip300.mov,317.53985595703125,0.07053258270025253
clip301.mov,451.60003662109375,0.041581131517887115
clip302.mov,635.1317138671875,0.006106745917350054
clip303.mov,664.0571899414062,0.004633900243788958
clip304.mov,661.2869262695312,0.004495339468121529
clip305.mov,661.8840942382812,0.006006860639899969
clip306.mov,798.6361083984375,0.017122069373726845
clip307.mov,1696.955078125,0.029361678287386894
clip308.mov,748.1385498046875,0.028946764767169952
clip309.mov,862.1686401367188,0.02774798683822155
clip310.mov,754.8856201171875,0.024199020117521286
clip311.mov,837.9304809570312,0.027674062177538872
clip312.mov,815.620361328125,0.02081841602921486
clip313.mov,705.6380004882812,0.008039737120270729
clip314.mov,655.5874633789062,0.022692883387207985
clip315.mov,848.4683837890625,0.031936004757881165
clip316.mov,901.6808471679688,0.029286006465554237
clip317.mov,583.76904296875,0.02863192744553089
clip318.mov,582.2139282226562,0.02008632756769657
clip319.mov,262.78924560546875,0.01245013065636158
clip320.mov,570.5240478515625,0.02152763120830059
clip321.mov,552.1436767578125,0.04405146464705467
clip322.mov,879.529052734375,0.027161093428730965
clip323.mov,822.8062744140625,0.01118709146976471
clip324.mov,790.6773681640625,0.004613412544131279
clip325.mov,685.582275390625,0.004753771238029003
clip326.mov,492.45941162109375,0.0019077648175880313
clip327.mov,645.1543579101562,0.03463286533951759
clip328.mov,268.66070556640625,0.0006412116345018148
clip329.mov,289.0916442871094,0.00043157796608284116
clip330.mov,274.5807189941406,0.00042522832518443465
clip331.mov,283.1365051269531,0.0046811094507575035
clip332.mov,415.4804992675781,0.0001349734520772472
clip333.mov,437.53057861328125,7.95745654613711e-05
clip334.mov,307.81109619140625,6.463193130912259e-05
clip335.mov,287.1021423339844,6.503223994513974e-05
clip336.mov,338.16558837890625,7.848334644222632e-05
clip337.mov,466.4846496582031,0.003573001828044653
clip338.mov,577.78564453125,0.012010741047561169
clip339.mov,1074.136474609375,0.0032800384797155857
clip340.mov,1082.00830078125,0.003679252928122878
clip341.mov,880.139892578125,0.0065482924692332745
clip342.mov,1180.959228515625,0.019481422379612923
clip343.mov,686.483642578125,0.010590027086436749
clip344.mov,938.431396484375,0.006592237390577793
clip345.mov,496.32110595703125,0.014255035668611526
clip346.mov,754.3818359375,0.011581401340663433
clip347.mov,817.582275390625,0.017553670331835747
clip348.mov,660.154296875,0.019187619909644127
clip349.mov,535.5418701171875,0.011192496865987778
clip350.mov,556.6307373046875,0.026663923636078835
clip351.mov,596.0846557617188,0.008026872761547565
clip352.mov,740.388671875,0.0012380669359117746
clip353.mov,641.4224853515625,0.0006626631366088986
clip354.mov,648.6290893554688,0.0005824563559144735
clip355.mov,567.7357177734375,0.0015634795418009162
clip356.mov,748.8912963867188,0.0038884792011231184
clip357.mov,522.6553344726562,0.008976452983915806
clip358.mov,587.2521362304688,0.016935570165514946
clip359.mov,550.4664916992188,0.010368801653385162
clip360.mov,528.707763671875,0.01283221784979105
clip361.mov,528.312255859375,0.00696734432131052
clip362.mov,1108.1968994140625,0.011549022980034351
clip363.mov,1009.0858764648438,0.014541982673108578
clip364.mov,196.92294311523438,0.006314754951745272
clip365.mov,1361.727783203125,0.022270889952778816
