Clip_Filename,Average_H,Average_S,Average_V
clip266.mov,14.254665956850403,224.82930044668694,65.62308173285591
clip267.mov,13.271493507667826,228.47808862756804,65.75452006022135
clip268.mov,13.74721110026042,224.45530711986396,66.3285390444155
clip269.mov,14.314920111762154,218.17315637659138,67.96183507848669
clip270.mov,17.86282373498987,205.1000319191262,65.13988880298756
clip271.mov,16.39109091035018,209.98582649970447,65.3285475075724
clip272.mov,16.17885965983073,209.1534847005208,67.70907434534142
clip273.mov,16.366787222403072,211.21395844636143,65.87436521176937
clip274.mov,13.607547516999423,221.9320014105903,60.37374348958335
clip275.mov,15.051503951461228,219.08782432273577,61.293619791666664
clip276.mov,17.55362634729456,193.21685501663777,72.93635149920428
clip277.mov,14.714187056929973,206.61145164207178,65.73431925455729
clip278.mov,18.32591896339699,183.5327534541377,84.99254220468025
clip279.mov,14.97606366192853,208.22091322157118,72.46024126971214
clip280.mov,18.027034776475695,192.88386702926076,73.78413126627602
clip281.mov,14.935938404224538,210.67900571469897,81.44376390245226
clip282.mov,16.720481431749132,201.903062020761,85.50548276548032
clip283.mov,17.153488340024598,212.9197478343822,68.44603705512152
clip284.mov,19.697348768446176,199.96047006112562,64.33792041919847
clip285.mov,13.706761565031831,228.92166013364442,55.87894605848523
clip286.mov,15.798999385127315,224.14468327275026,66.84987257215711
clip287.mov,21.644695954499422,202.45932931405528,54.017760054976854
clip288.mov,23.658933354130497,188.32310300473816,57.07999554669413
clip289.mov,22.826032533998838,131.60749254014755,70.38025060583045
clip290.mov,14.271227258752893,209.644360441985,52.785544230143245
clip291.mov,24.035425139442975,174.1852452026079,64.36636383994535
clip292.mov,19.11418615270544,184.21595551667392,69.46193533438223
clip293.mov,17.10581594961661,208.13582275390627,60.54217655888309
clip294.mov,22.09462583188657,190.63329935709635,61.52559176974828
clip295.mov,38.26896192762587,132.31392218695754,76.98992657696759
clip296.mov,52.3975729031033,130.00133246527778,79.85737487792969
clip297.mov,37.11823212800203,172.6888910364222,87.9115845856843
clip298.mov,56.05030268916378,121.23368225097659,110.4503599491826
clip299.mov,14.478617666739,164.28583059805405,63.66838864926937
clip300.mov,18.275824426721645,153.46629891854744,67.66119353117769
clip301.mov,40.35549700701678,121.16649115668405,97.87173075358072
clip302.mov,31.055981467918116,123.75581029821326,47.17434346516928
clip303.mov,34.52044135199653,133.09246758355036,42.047313729745355
clip304.mov,30.378615202727143,121.4018355984158,45.22681423611112
clip305.mov,34.774878042715564,106.76398419415507,65.16929423014324
clip306.mov,40.24084771050347,107.19960548683444,76.92917017053675
clip307.mov,52.0793849464699,98.71528889973958,91.40533558033133
clip308.mov,29.557443689416957,102.24428001121238,72.86305257161459
clip309.mov,44.13451669198494,75.86822439688221,83.26873012966583
clip310.mov,27.026077021846064,101.16250666865595,72.52525600857206
clip311.mov,47.88306694878472,94.62821705005787,80.13556563765914
clip312.mov,46.25986556682182,138.80631895962617,37.14770512429817
clip313.mov,26.974894409179694,137.72875142415361,41.980974369755494
clip314.mov,20.46648238570602,132.79612419976124,53.775726137514475
clip315.mov,23.410112779405384,130.5886907958985,45.59646970395689
clip316.mov,26.52150467484086,115.56688939977573,57.96630246762876
clip317.mov,42.033499936704295,97.26740372269244,72.15785743995947
clip318.mov,43.22906367549189,91.63210555465132,77.64771855107058
clip319.mov,28.527085548683456,120.6302447735822,51.314148310908564
clip320.mov,21.278901050708914,126.61804181134261,52.31293622052228
clip321.mov,28.400553950557,110.76621030454284,67.55589968080874
clip322.mov,23.378797856083622,135.03026371708623,44.892588817455156
clip323.mov,31.637882238317417,122.37442376030816,49.064360215928815
clip324.mov,21.84473653157551,130.45268541124133,45.787235310872404
clip325.mov,26.21253295898437,129.28348065411603,48.96211091218171
clip326.mov,32.71217411747684,121.79530212402342,37.81370842827692
clip327.mov,22.8497960973669,116.6839766438802,46.22948307743777
clip328.mov,15.387065474898726,183.01318730107062,10.84317310474537
clip329.mov,22.269364646629047,183.19052725332745,16.372098818178525
clip330.mov,20.26211473253038,188.559002504702,16.64131478768808
clip331.mov,32.30341937029803,162.18835311324509,16.937131053783276
clip332.mov,29.702358285409435,161.32623840332033,16.728731621636282
clip333.mov,31.219418379691195,161.16798620345747,16.373755425347223
clip334.mov,28.93609537760416,163.42276505081736,16.215006239149304
clip335.mov,27.2743618661386,170.078597140842,22.175459436487273
clip336.mov,27.719421816225417,162.41589335123703,16.610622106481483
clip337.mov,27.10520955403645,149.7592363145616,20.094939236111113
clip338.mov,35.784771231192146,151.44317253960503,16.119247052228012
clip339.mov,24.453297390407982,153.22533899377893,18.188687427662035
